actor,title_count
"Shah Rukh Khan",26
"Akshay Kumar",23
"David Attenborough",20
"Amitabh Bachchan",20
"Adam Sandler",20
"Vatsal Dubey",18
"Nicolas Cage",16
"Ajay Devgn",16
"Aamir Khan",14
"Michela Luci",14
"Anil Kapoor",13
"Ahmed Helmy",13
"David Spade",13
"Naseeruddin Shah",12
"Salman Khan",12
"Sanjay Dutt",11
"Shahid Kapoor",11
"Ramsey Nouah",10
"Jack Black",10
"Junko Takeuchi",10
"Elyse Maloway",10
"Will Smith",10
"Samuel West",10
"Harrison Ford",10
"Eddie Murphy",10
"Nawazuddin Siddiqui",9
"Donnie Yen",9
"Samuel L. Jackson",9
"Kevin Hart",9
"Kappei Yamaguchi",9
"Kristen Stewart",9
"Jeff Dunham",8
"Mike Smith",8
Prabhas,8
"Robert De Niro",8
"John Travolta",8
"Abhishek Bachchan",8
"Johnny Depp",8
"Pierce Brosnan",8
"Saurav Chakraborty",8
"Denzel Washington",7
"Jackie Chan",7
"Tara Strong",7
"Graham Chapman",7
"Sonal Kaushal",7
"Keanu Reeves",7
"Ricky Gervais",7
"Bruce Willis",7
"Kathryn Bernardo",7
"Abhay Deol",7
