director,title_count
"Rajiv Chilaka",19
"Raúl Campos",18
"Marcus Raboy",16
"Suhas Kadav",16
"Jay Karas",14
"Cathy Garcia-Molina",13
"Jay Chapman",12
"Youssef Chahine",12
"Martin Scorsese",12
"Steven Spielberg",11
"Don Michael Paul",10
"David Dhawan",9
"Fernando Ayllón",8
"Shannon Hartman",8
"Troy Miller",8
"Kunle Afolayan",8
"Hakan Algül",8
"Ryan Polito",8
"Quentin Tarantino",8
"Yılmaz Erdoğan",8
"Lance Bangs",8
"Robert Rodriguez",8
"Johnnie To",8
"Hidenori Inoue",7
"Ram Gopal Varma",7
"Justin G. Dyck",7
"Ozan Açıktan",7
"Clint Eastwood",7
"Prakash Satam",7
"Omoni Oboli",7
"Ron Howard",7
"Mae Czarina Cruz",7
"Toshiya Shinohara",7
McG,7
"S.S. Rajamouli",7
"Wenn V. Deramas",6
"Ashutosh Gowariker",6
"Milan Luthria",6
"Robert Luketic",6
"David Fincher",6
"Lasse Hallström",6
"Anees Bazmee",6
"Sameh Abdulaziz",6
"Matt Askem",6
"Rajkumar Santoshi",6
"Hanung Bramantyo",6
"Noah Baumbach",6
"Vlad Yudin",6
"Steven Soderbergh",6
"Sooraj R. Barjatya",6
